At round 3, g is 0
At round 6, g is 0
At round 9, g is -8
At round 12, g is 22
At round 15, g is 28
At round 18, g is 34
At round 23, g is 66
At round 25, g is 360
At round 30, g is 696
At round 44, g is 258
At round 49, g is 384
At round 53, g is 364
At round 58, g is 285
At round 62, g is 427
At round 65, g is 384
At round 68, g is 469
At round 73, g is 288
At round 76, g is 375
At round 79, g is 234
At round 83, g is 328
At round 90, g is 445
At round 95, g is 470
At round 99, g is 588
At round 102, g is 606
At round 105, g is 728
At round 109, g is 756
At round 112, g is 777
At round 116, g is 805
