gravity = -0.350000, wind = -0.050000
i = 0, p_x= -312.000000, p_y = 0.000000, p_z = 62.000000, v_x= 0.000000, v_y = 0.850000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 1, p_x= 171.000000, p_y = 0.000000, p_z = 282.000000, v_x= 0.000000, v_y = 0.750000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 2, p_x= 134.000000, p_y = 0.000000, p_z = 199.000000, v_x= 0.000000, v_y = 0.850000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 3, p_x= -307.000000, p_y = 0.000000, p_z = 329.000000, v_x= 0.000000, v_y = 0.750000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 4, p_x= -307.000000, p_y = 0.750000, p_z = 329.000000, v_x= -0.002500, v_y = 0.732500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 5, p_x= -307.002502, p_y = 1.482500, p_z = 329.000000, v_x= -0.005000, v_y = 0.715000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 6, p_x= -307.007507, p_y = 2.197500, p_z = 329.000000, v_x= -0.007500, v_y = 0.697500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 7, p_x= -307.015015, p_y = 2.895000, p_z = 329.000000, v_x= -0.010000, v_y = 0.680000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 8, p_x= -307.025024, p_y = 3.575000, p_z = 329.000000, v_x= -0.012500, v_y = 0.662500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 9, p_x= -307.037537, p_y = 4.237500, p_z = 329.000000, v_x= -0.015000, v_y = 0.645000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 10, p_x= -307.052551, p_y = 4.882500, p_z = 329.000000, v_x= -0.017500, v_y = 0.627500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 11, p_x= -307.070038, p_y = 5.510000, p_z = 329.000000, v_x= -0.020000, v_y = 0.610000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 12, p_x= -307.090027, p_y = 6.119999, p_z = 329.000000, v_x= -0.022500, v_y = 0.592500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

